Name,Date,Rate,Votes,Genre,Duration,Certificate,Nudity,Violence,Profanity,Alcohol,Frightening
The Hangover Part III,2013,5.8,303010,"Comedy, Crime",100,R,Moderate,Moderate,Severe,Moderate,Moderate
Body Heat,1981,7.4,33458,"Crime, Drama, Romance",113,R,Moderate,Mild,Mild,Mild,Mild
Wild at Heart,1990,7.2,89151,"Comedy, Crime, Drama",125,R,Severe,Severe,Severe,Moderate,Severe
The Darkest Hour,2011,4.9,59878,"Action, Adventure, Horror",89,PG-13,None,Moderate,Mild,Mild,Moderate
Sex Drive,2008,6.5,86059,"Comedy, Romance",109,R,Severe,Mild,Severe,Moderate,Mild
Hellraiser III: Hell on Earth,1992,5.5,29195,Horror,97,R,Moderate,Severe,Severe,Moderate,Severe
Mike and Dave Need Wedding Dates,2016,6.0,86157,"Comedy, Romance",98,R,Moderate,Mild,Severe,Moderate,None
The Hunchback of Notre Dame,1996,7.0,148870,"Animation, Drama, Family",91,G,Mild,Moderate,Mild,Mild,Moderate
Enemy at the Gates,2001,7.6,252026,"Drama, History, War",131,R,Moderate,Severe,Mild,Mild,Moderate
Accepted,2006,6.4,128887,Comedy,93,PG-13,Mild,Mild,Moderate,Mild,None
The Exorcism of Emily Rose,2005,6.7,124490,"Drama, Horror, Thriller",119,PG-13,None,Moderate,Mild,Mild,Severe
The Awakening,2011,6.5,65122,"Horror, Thriller",102,R,Mild,Moderate,Mild,Mild,Moderate
Clerks,1994,7.7,216743,Comedy,92,R,Moderate,Mild,Severe,Moderate,None
Bad Boys II,2003,6.6,240418,"Action, Comedy, Crime",147,R,Moderate,Severe,Severe,Moderate,Moderate
Black Sunday,1977,6.8,7515,"Adventure, Crime, Drama",143,R,None,Severe,Mild,Mild,Moderate
IO,2019,4.7,32827,"Adventure, Drama, Sci-Fi",96,PG-13,Mild,None,Mild,None,Mild
The Bourne Ultimatum,2007,8.0,617345,"Action, Adventure, Mystery",115,PG-13,None,Moderate,Mild,Mild,Moderate
Romy and Michele's High School Reunion,1997,6.2,44930,Comedy,92,R,Mild,None,Mild,Mild,None
While You Were Sleeping,1995,6.7,96463,"Comedy, Drama, Romance",103,PG,Mild,None,Mild,Mild,None
Every Which Way but Loose,1978,6.3,26080,"Action, Comedy",114,PG,Moderate,Mild,Moderate,Moderate,Mild
Macbeth,2015,6.6,54784,"Drama, History, War",113,R,Mild,Severe,None,Mild,Moderate
Tumbbad,2018,8.3,37344,"Drama, Fantasy, Horror",104,R,Mild,Moderate,Mild,Mild,Moderate
Alone in the Dark,1982,6.1,5378,"Horror, Thriller",92,R,Moderate,Moderate,Mild,None,Moderate
Westworld,1973,7.0,55319,"Action, Sci-Fi, Thriller",88,PG,Mild,Moderate,Mild,Mild,Moderate
In the Cut,2003,5.3,23076,"Mystery, Thriller",119,R,Severe,Severe,Severe,Mild,Severe
Escape Plan,2013,6.7,235362,"Action, Thriller",115,R,None,Severe,Severe,Mild,Mild
Sleeping with the Enemy,1991,6.3,54035,"Drama, Thriller",99,R,Mild,Moderate,Mild,Mild,Moderate
Deep Rising,1998,6.1,35602,"Action, Adventure, Horror",106,R,Mild,Severe,Mild,Mild,Moderate
Day of the Dead,1985,7.1,66401,"Horror, Thriller",101,R,None,Severe,Severe,Mild,Severe
22 Jump Street,2014,7.0,358915,"Action, Comedy, Crime",112,R,Moderate,Moderate,Severe,Moderate,Mild
Terror Train,1980,5.8,11159,"Horror, Mystery, Thriller",97,R,Moderate,Severe,Moderate,Mild,Moderate
Extinction,2018,5.8,50067,"Action, Drama, Sci-Fi",95,R,None,Moderate,Mild,None,Moderate
The Last Picture Show,1971,8.0,45203,"Drama, Romance",118,R,Moderate,Mild,Mild,Mild,None
The Insider,1999,7.8,166344,"Biography, Drama, Thriller",157,R,None,Mild,Moderate,Mild,Mild
Kodachrome,2017,6.8,14642,Drama,105,R,None,None,Moderate,Moderate,None
The Dead Zone,1983,7.2,66644,"Drama, Horror, Sci-Fi",103,R,Mild,Moderate,Mild,Mild,Moderate
What Lies Beneath,2000,6.6,121865,"Drama, Horror, Mystery",130,PG-13,Mild,Moderate,Mild,Mild,Moderate
The Hate U Give,2018,7.5,33758,"Crime, Drama",133,PG-13,None,Moderate,Moderate,Mild,Severe
Pale Rider,1985,7.3,56565,"Drama, Western",115,R,Mild,Severe,Mild,Mild,Moderate
The Last Black Man in San Francisco,2019,7.3,16962,Drama,121,R,Mild,Mild,Severe,Mild,Mild
The Wrestler,2008,7.9,297304,"Drama, Sport",109,R,Severe,Severe,Moderate,Moderate,Moderate
12 Strong,2018,6.6,74061,"Action, Drama, History",130,R,None,Severe,Moderate,Mild,Moderate
Always Be My Maybe,2019,6.8,51053,"Comedy, Romance",101,PG-13,Mild,Mild,Moderate,Moderate,None
Magic Mike XXL,2015,5.6,54253,"Comedy, Drama, Music",115,R,Moderate,Mild,Severe,Moderate,None
Attack the Block,2011,6.7,104078,"Action, Adventure, Comedy",88,R,Mild,Severe,Severe,Severe,Moderate
